result:
| bench_id | wp_id |  compile | measurement | tasks | num_iters | grid_size | time_avg | time_std |    rate (MFlops/s) | memory total (MiB) | verification |
|----------|-------|----------|-------------|-------|-----------|-----------|----------|----------|--------------------|--------------------|--------------|
|        0 |     5 |     base |        base |    48 |      1000 |     48000 |  204.597 |    0.112 |     123862.2899134 |          38763.238 |      SUCCESS |
|        0 |    35 | tsan-opt |        must |    48 |      1000 |     48000 |  216.542 |    0.516 | 117030.56453619999 |          43236.816 |      SUCCESS |
|        0 |    10 |     base |        base |    96 |      1000 |     67883 |  221.085 |   21.704 | 230980.34555940004 |          83531.883 |      SUCCESS |
|        0 |    40 | tsan-opt |        must |    96 |      1000 |     67883 |  221.671 |    0.367 |      228655.317221 |           93511.93 |      SUCCESS |
|        0 |    15 |     base |        base |   192 |      1000 |     96000 |  244.637 |    0.227 |     414376.6792472 |         167284.543 |      SUCCESS |
|        0 |    45 | tsan-opt |        must |   192 |      1000 |     96000 |  271.407 |    0.728 |     373506.3774604 |         190133.379 |      SUCCESS |
|        0 |    20 |     base |        base |   384 |      1000 |    135765 |  244.780 |    0.133 |  828285.4502148001 |         335415.113 |      SUCCESS |
|        0 |    50 | tsan-opt |        must |   384 |      1000 |    135765 |  286.201 |    0.853 |     708415.4568496 |         393126.023 |      SUCCESS |
|        0 |    26 |     base |        base |   768 |      1000 |    192000 |  246.998 |    3.765 | 1641994.0079080001 |         674368.375 |      SUCCESS |
|        0 |    59 | tsan-opt |        must |   768 |      1000 |    192000 |  302.744 |    1.607 |    1339432.9103482 |         836702.859 |      SUCCESS |
